"","Sample.ID","Year","System","Age","ALA.mean","VAL.mean","NOR.mean","GLU.mean","PHE.mean","ALA.sd","VAL.sd","NOR.sd","GLU.sd","PHE.sd"
"56","71_K_3","1971","Kvichak","3",23.1675227272714,22.2895321969674,13.7407424242408,21.9916117424228,2.85582575757613,0.0955453560529084,0.897146110890368,0.330715836850159,0.0991510456100962,0.434131507832716
"57","74_K_2","1974","Kvichak","2",21.9290782196968,15.1998685606059,13.4555362689398,20.3875986742419,3.56475804924237,0.253764562684143,1.47252390454653,1.99204716730063,0.839228157815261,0.809467121408408
"58","74_W_2","1974","Wood","2",22.3317744318182,16.2114428030304,15.096123011364,21.970843371212,4.32324857954541,0.150422535742109,1.07711813815936,1.94294952259123,0.48032933690606,0.138215061471146
"59","74_W_2_R","1974","Wood","2",23.9937973484846,22.1825359848484,13.6686477272723,24.2591571969696,4.51043750000012,0.23261611359931,1.18842882814795,0.501329342482108,0.819920407984381,0.885953601711015
"60","80_W_2","1980","Wood","2",20.6407662878788,13.6036013257577,15.2867041666667,20.0816575284086,5.02473579545441,0.277800956260945,1.14399163687369,1.70689196267356,0.247823048253611,NA
"61","84_W_2","1984","Wood","2",22.9834132575758,16.1410369318183,13.7737208333334,21.9206523674237,7.40580525568171,0.213000844918191,0.153401584438546,0.168793134456302,0.478060765020668,0.227068258930084
"62","86_W_2","1986","Wood","2",22.7011634756995,22.9125780559646,11.5150522827702,22.7652115856651,3.4736167157581,0.20138033262345,0.47293214358949,0.609377718164506,0.384469821594606,0.1977851994646
"63","86_W_3","1986","Wood","3",21.9225,16.3557412878788,17.2582911931816,21.27160189394,6.43102945075809,0.189503957742311,1.39381775956107,1.10041580242586,0.371005795698574,0.0472835855905189
"64","89_E_2","1989","Egegik","2",24.1133613636364,17.1417053977273,13.0917559659096,22.2797236742421,5.92167187499921,0.231887941475806,0.389523213976522,2.13134671330822,0.185138743705855,0.411605877851209
"65","89_E_3","1989","Egegik","3",22.9396818181819,16.9008238636364,14.201524621213,22.6184204545449,3.547945312499,0.577675848191443,0.228939660245645,1.89859135384671,0.591600914081687,0.626684433370055
"66","89_K_2","1989","Kvichak","2",24.2562606060607,13.9964704545455,15.0353234848492,22.555498484848,7.12554166666578,0.142728742434754,4.93848327411515,1.30029854720227,0.0874263774061862,1.05422967173432
"67","89_K_2_R","1989","Kvichak","2",22.2275512310604,22.7430987689393,11.0759111742421,19.7486055871212,3.62478020833349,0.235652887303948,0.229943701791395,0.434157673640108,0.348254486083008,0.251725313274401
"68","89_W_2","1989","Wood","2",23.0465810606062,19.5399222537879,13.0667588068192,22.3558619318176,3.39401562499889,0.231114480307777,1.34418544919263,0.0757486487283432,0.249257212572345,0.720059638541578
"69","89_W_3","1989","Wood","3",23.5374621212122,16.7555492424243,14.3905833333335,23.715642045454,3.37394417613609,0.430265273279655,0.497397881146394,1.62823771214144,0.316940733835748,0.337376916795503
"70","92_E_2","1992","Egegik","2",23.7638640151515,21.4402926136364,13.8010958333336,23.2483995265145,3.02069815340889,0.26963349860918,1.57406666630479,0.213854850867381,0.272359789086332,0.795408146665339
"71","92_W_2","1992","Wood","2",23.6426118371208,16.8622334280299,13.8449482007578,21.2946849431809,6.817998200757,0.283309529916775,0.356754241787328,2.93267337820166,0.259333697792384,1.07176854138841
"72","93_K_2","1993","Kvichak","2",23.7274818181818,17.1054469696971,14.1965666666668,22.6394098484842,6.45066439393935,0.374627602078247,0.489660070411374,1.2134700489669,0.238920403006108,0.481328492889622
"73","95_E_2","1995","Egegik","2",22.9300037878785,17.7277840909089,14.8295473484846,22.2170170454536,4.0245301136349,0.727721706915869,0.335203032987796,1.10703278741279,0.141321738746994,0.860602789243562
"74","95_E_3","1995","Egegik","3",24.198065151515,17.6050196969694,15.9203143939392,23.183346164772,8.21503939393816,0.208484779231028,3.05728659477095,2.29020176111442,0.12155587422096,1.08042586849461
"75","95_K_2","1995","Kvichak","2",21.6318744318178,21.2138573863632,12.3855553977271,20.5704016098476,3.34283977272581,0.254006311341494,1.19039390874745,0.275708476298938,0.492006384918562,0.472927035383813
"76","95_W_2","1995","Wood","2",22.3341442234845,19.1914724431816,17.7165706439386,18.4780686553029,3.99640468750011,0.586244800373631,3.10025994890513,2.05912650716569,0.42861630850666,0.902266043085279
"77","95_W_3","1995","Wood","3",23.10792717803,16.6442228219696,15.6334774621205,21.2935553977272,4.53574895833345,0.35106443626247,0.224321414275685,0.806384674312999,0.241015359385097,0.846524454515657
"78","98_E_2","1998","Egegik","2",21.8010147727271,20.2107838068181,13.1156376893947,21.3039921401498,2.38556818181686,0.256709566837409,1.88016165710851,1.45979597417887,0.286360275371332,0.405797254393875
"79","98_E_3","1998","Egegik","3",23.1507889052528,15.2982790868926,14.5884715267559,22.5070741286206,5.70990709376524,0.102247579810685,1.10020511586533,3.23428676479597,0.245711490371347,0.910419995639725
"80","98_K_2","1998","Kvichak","2",22.8977237689391,14.4480853219691,13.8847523674242,22.1860568181814,6.97317575757449,0.143808792587188,0.434537012039876,0.153398423492338,0.288432086133038,0.745968326789493
"81","98_W_2","1998","Wood","2",23.862976420454,15.1291720643932,14.2594588068182,21.8720113636353,6.82404848484656,0.403349136397893,0.58778436764186,2.06858449010732,0.564558315002092,0.35662019398069
