"","X","...1","Analysis","ID1","RT","AreaAll","d29N","d15N","AAID","d15N.correct","adj"
"361",361,39,44935,"04_E_3",2057.2,4.274,21.502,21.502,"GLU",21.07185,22.9644962398877
"365",365,43,44940,"01_W_3",2064.3,7.286,23.264,23.264,"GLU",22.83385,23.7523399397573
"370",370,48,44941,"01_W_3",2067.6,7.314,22.809,22.809,"GLU",22.37885,23.2311448735948
"375",375,53,44942,"01_W_3",2069.1,7.191,23.355,23.355,"GLU",22.92485,23.7319897517013
"385",385,63,44944,"01_K_2",2081.4,6.191,22.366,22.366,"GLU",21.93585,22.7798719633503
"390",390,68,44945,"01_K_2",2088.5,5.933,23.118,23.118,"GLU",22.68785,23.5188918787467
"395",395,73,44946,"01_K_2",2096.1,6.016,22.177,22.177,"GLU",21.74685,22.4992810426781
"425",425,19,44952,"10_E_2",2049.2,2.618,22.333,22.333,"GLU",21.90285,25.2467958597789
"430",430,24,44953,"10_E_2",2049.9,2.555,22.049,22.049,"GLU",21.61885,24.9537945452059
"435",435,29,44954,"10_E_2",2049,2.43,21.836,21.836,"GLU",21.40585,24.7917660611749
"440",440,34,44955,"10_E_3",2055.9,4.673,23.486,23.486,"GLU",23.05585,25.1874208620689
"445",445,39,44956,"10_E_3",2055.3,4.252,23.325,23.325,"GLU",22.89485,25.1017660621122
"450",450,44,44957,"10_E_3",2055.3,4.034,23.999,23.999,"GLU",23.56885,25.794415533268
"460",460,54,44962,"07_K_2",2052.8,2.407,20.558,20.558,"GLU",20.12785,23.0346450041112
"465",465,59,44963,"07_K_2",2054.9,2.349,21.422,21.422,"GLU",20.99185,23.8932278771482
"470",470,64,44964,"07_K_2",2059.7,2.22,20.319,20.319,"GLU",19.88885,22.864209969751
"480",480,74,44966,"04_W_3",2083.7,9.065,24.609,24.609,"GLU",24.17885,24.8857525304892
"485",485,79,44967,"04_W_3",2090.2,8.075,23.882,23.882,"GLU",23.45185,24.1995406505455
"490",490,84,44968,"04_W_3",2098.4,7.899,23.938,23.938,"GLU",23.50785,24.2136487616353
"520",520,19,45193,"22_E_2_R",2063.9,8.463,23.915,23.915,"GLU",23.48485,24.7865894444949
"525",525,24,45194,"22_E_2_R",2063.2,7.852,23.554,23.554,"GLU",23.12385,24.3715248342385
"530",530,29,45195,"22_E_2_R",2063.9,7.563,24.516,24.516,"GLU",24.08585,25.2462444834983
"540",540,39,45200,"92_W_2",2062,7.415,22.479,22.479,"GLU",22.04885,22.6109859260444
"545",545,44,45201,"92_W_2",2061.8,6.856,23.054,23.054,"GLU",22.62385,23.1428348888565
"550",550,49,45202,"92_W_2",2061.6,6.283,23.173,23.173,"GLU",22.74285,23.2335786281875
"585",585,19,45869,"04_E_2",2076.4,16.344,22.935,22.935,"GLU",22.50485,23.6207635146984
"590",590,24,45870,"04_E_2",2077.7,15.217,23.122,23.122,"GLU",22.69185,23.7951328615351
"595",595,29,45871,"04_E_2",2076.6,13.719,23.988,23.988,"GLU",23.55785,24.6706495189442
"600",600,34,45872,"10_K_2",2056.6,3.817,21.676,21.676,"GLU",21.24585,23.6541910334704
"605",605,39,45873,"10_K_2",2057.4,3.59,22.423,22.423,"GLU",21.99285,24.451323941134
"610",610,44,45874,"10_K_2",2058.2,3.41,22.046,22.046,"GLU",21.61585,24.1116109206579
"620",620,54,45879,"07_E_2",2064.1,3.115,20.935,20.935,"GLU",20.50485,22.9033867422643
"625",625,59,45880,"07_E_2",2061.6,2.975,20.965,20.965,"GLU",20.53485,22.970023599991
"630",630,64,45881,"07_E_2",2063.9,2.817,19.773,19.773,"GLU",19.34285,21.8354908926573
"665",665,19,45891,"04_W_2",2071,12.018,22.707,22.707,"GLU",22.27685,23.6082488675448
"670",670,24,45892,"04_W_2",2070.1,11.152,23.255,23.255,"GLU",22.82485,24.0982583756814
"675",675,29,45893,"04_W_2",2069.9,10.184,22.94,22.94,"GLU",22.50985,23.7408358066602
"680",680,34,45894,"01_E_2",2072.7,11.778,23.879,23.879,"GLU",23.44885,24.4606013205078
"685",685,39,45895,"01_E_2",2072.7,11.438,23.859,23.859,"GLU",23.42885,24.3501760149681
"690",690,44,45896,"01_E_2",2073.3,11.803,24.034,24.034,"GLU",23.60385,24.3916352051524
"700",700,54,45898,"01_K_3",2070.6,8.203,23.694,23.694,"GLU",23.26385,24.1228619844726
"705",705,59,45899,"01_K_3",2074.7,7.942,23.727,23.727,"GLU",23.29685,24.0748315728991
"710",710,64,45900,"01_K_3",2078.3,7.706,23.024,23.024,"GLU",22.59385,23.289446225932
"715",715,69,45901,"98_W_2",2076.2,4.858,23.813,23.813,"GLU",23.38285,24.5009434933161
"720",720,74,45902,"98_W_2",2083.3,4.543,23.492,23.492,"GLU",23.06185,24.1628762159125
"725",725,79,45903,"98_W_2",2090.2,4.572,22.916,22.916,"GLU",22.48585,23.4664934165355
"735",735,89,45905,"98_K_2",2123.4,9.116,24.273,24.273,"GLU",23.84285,23.8295684078059
"740",740,94,45906,"98_K_2",2132.6,9.061,23.839,23.839,"GLU",23.40885,23.2894996974853
"745",745,99,45907,"98_K_2",2145.2,9.311,24.386,24.386,"GLU",23.95585,23.7021937340028
"775",775,19,45913,"98_E_2",2069.9,10.775,21.416,21.416,"GLU",20.98585,22.3036310217602
"780",780,24,45914,"98_E_2",2069.3,9.703,22.068,22.068,"GLU",21.63785,22.9579723020061
"785",785,29,45915,"98_E_2",2069.3,9.524,21.878,21.878,"GLU",21.44785,22.7036208401813
"790",790,34,45916,"10_W_2",2059.7,4.154,23.381,23.381,"GLU",22.95085,25.0777181671756
"795",795,39,45917,"10_W_2",2058.9,4.055,24.557,24.557,"GLU",24.12685,26.211628270974
"800",800,44,45918,"10_W_2",2059.9,3.929,24.889,24.889,"GLU",24.45885,26.5141567271017
"810",810,54,45920,"04_K_2",2081.8,12.313,24.342,24.342,"GLU",23.91185,24.5770378227002
"815",815,59,45921,"04_K_2",2086.9,11.829,24.339,24.339,"GLU",23.90885,24.5221062996067
"820",820,64,45922,"04_K_2",2093.1,11.599,24.066,24.066,"GLU",23.63585,24.183361666074
"825",825,69,45923,"01_E_3",2111.3,19.695,23.554,23.554,"GLU",23.12385,23.2813956348003
"830",830,74,45924,"01_E_3",2124.3,18.749,23.36,23.36,"GLU",22.92985,23.0317181882817
"835",835,79,45925,"01_E_3",2140.8,18.184,22.863,22.863,"GLU",22.43285,22.4704419937557
"845",845,89,45927,"13_K_2",2156.5,5.923,20.633,20.633,"GLU",20.20285,20.9743817624182
"850",850,94,45928,"13_K_2",2176.1,6.927,21.434,21.434,"GLU",21.00385,21.5215626851375
"855",855,99,45929,"13_K_2",2185.5,6.324,21.156,21.156,"GLU",20.72585,21.2627864219447
"885",885,19,45935,"13_E_2",2056.4,4.134,20.041,20.041,"GLU",19.61085,22.1112380218755
"890",890,24,45936,"13_E_2",2056.8,3.739,19.766,19.766,"GLU",19.33585,21.9123651232864
"895",895,29,45937,"13_E_2",2064.7,3.717,19.364,19.364,"GLU",18.93385,21.4350087807794
"900",900,34,45938,"13_E_3",2069.3,9.493,21.67,21.67,"GLU",21.23985,22.5291134310761
"905",905,39,45939,"13_E_3",2069.7,9.371,22.441,22.441,"GLU",22.01085,23.2256365849456
"910",910,44,45940,"13_E_3",2069.9,9.08,22.165,22.165,"GLU",21.73485,22.8910643336381
"950",950,19,45957,"95_K_2",2064.5,8.8,21.172,21.172,"GLU",20.74185,22.4863877560234
"955",955,24,45958,"95_K_2",2064.1,8.191,20.877,20.877,"GLU",20.44685,22.148982841507
"960",960,29,45959,"95_K_2",2063.9,8.128,20.407,20.407,"GLU",19.97685,21.579231320414
"965",965,34,45960,"95_E_2",2071.2,11.527,22.518,22.518,"GLU",22.08785,23.2978650617602
"970",970,39,45961,"95_E_2",2071.2,11.193,22.844,22.844,"GLU",22.41385,23.5381942509782
"975",975,44,45962,"95_E_2",2072.4,11.414,22.996,22.996,"GLU",22.56585,23.5691154732586
"985",985,54,45964,"95_E_3",2068.7,6.364,24.159,24.159,"GLU",23.72885,25.0463687199886
"990",990,59,45965,"95_E_3",2075.2,5.953,24.094,24.094,"GLU",23.66385,24.9509718332875
"995",995,64,45966,"95_E_3",2084.1,5.94,22.854,22.854,"GLU",22.42385,23.6066368654617
"1000",1000,69,45967,"13_W_3",2098.6,10.251,24.107,24.107,"GLU",23.67685,24.226129000218
"1005",1005,74,45968,"13_W_3",2109.9,10.452,23.929,23.929,"GLU",23.49885,23.9261826796836
"1010",1010,79,45969,"13_W_3",2125.1,10.035,23.926,23.926,"GLU",23.49585,23.8480671700769
"1020",1020,89,45971,"13_W_2",2157.9,10.876,23.982,23.982,"GLU",23.55185,23.6283427671059
"1025",1025,94,45972,"13_W_2",2170.7,10.475,24.751,24.751,"GLU",24.32085,24.3188700781575
