"","W.PHE","K.PHE","E.PHE","W.GLU","K.GLU","E.GLU","BB.PHE","BB.GLU","tp.W","tp.K","tp.E","BB.tp","PHE.SE","GLU.SE","Year"
"24",3.28054969362619,6.24605019992682,6.15739346288675,23.469076726768,22.950057977793,24.1131605254993,5.01521515352426,23.7210205897984,3.37797833330621,2.88442036513686,3.06172337997345,3.16796110995384,0.313141266855184,0.512039601828816,1988
"25",3.13392888487098,6.67673610223454,5.80674802881218,23.2071831609993,23.0015406856837,23.5802303151226,5.00684847580663,23.3028481294854,3.36165074732695,2.83070886451122,3.03590400655955,3.1099149651103,0.280247310765172,0.232123325918741,1989
"26",4.14117280305455,6.48557771377477,5.17403217843779,23.11934073632,23.0979367244002,23.7693801756271,5.02236290051882,23.4346884660522,3.20653936731805,2.87143895334637,3.15231558033842,3.12639172316337,0.307962757907327,0.511063946592569,1990
"27",5.14841672123812,6.29441932531501,4.5413163280634,23.0314983116407,23.1943327631166,23.9585300361315,5.037877325231,23.566528802619,3.05142798730915,2.91216904218153,3.2687271541173,3.14286848121643,0.314864504921225,0.525934729203415,1991
"28",6.15566063942168,6.10326093685525,3.90860047768901,22.9436558869614,23.290728801833,24.147679896636,5.05339174994319,23.6983691391858,2.89631660730024,2.95289913101668,3.38513872789617,3.1593452392695,0.302381123411026,0.316455658919335,1992
"29",5.55765586429273,5.91210254839548,4.10812317193832,22.5274695064266,23.3871248405495,23.8941307505824,5.0284511435175,23.5738521139357,2.92206992098214,2.99362921985184,3.32096424626687,3.14524093065414,0.308437048387801,0.375371417741205,1993
"30",4.95965108916377,4.7821501045516,4.30764586618762,22.1112831258918,22.8622697014404,23.6405816045288,4.93944163080275,23.1091218718346,2.94782323466403,3.07933705338368,3.25678976463756,3.09202269703001,0.314450822493073,0.479992634901883,1994
"31",4.36164631403482,3.65219766070772,4.50716856043692,21.6950967453571,22.3374145623313,23.3870324584752,4.850432118088,22.6443916297336,2.97357654834593,3.16504488691552,3.19261528300826,3.03880446340589,0.301000018076239,0.278586956150364,1995
"32",4.96329340664549,4.57610774381564,3.91882420459468,22.4026068102434,22.7029915362467,23.1804216238645,4.90873871672695,22.9388954939747,2.98857130362577,3.08596087711488,3.24668518686542,3.07226016674897,0.319024392242573,0.519366119228842,1996
"33",5.56494049925616,5.50001782692356,3.33047984875244,23.1101168751298,23.0685685101621,22.9738107892538,4.96704531536589,23.2333993582158,3.00356605890562,3.00687686731424,3.30075509072258,3.10571587009206,0.31841461193866,0.51989307356479,1997
