"","Year","System","Age","VAL.mean","NOR.mean","GLU.mean","PHE.mean","ALA.mean","VAL.sd","NOR.sd","GLU.sd","PHE.sd","ALA.sd","Sample.ID","Trophic.Position"
"26","1998","Egegik","2","19.1797838068181","13.4376376893947","21.5979921401504","2.38556818181715","21.4010147727272","1.88016165710851","1.45979597417865","0.286360275371331","0.405797254393856","0.256709566837391","98_E_2",3.23972010741264
"27","2013","Egegik","2","20.8736198863629","13.9172185606062","19.6559712121197","1.5790836174222","19.7877636363629","1.97472842976829","0.896100341526889","0.425305811082635","0.554908588375714","0.539331657418917","13_E_2",3.07887926270503
"28","2013","Egegik","3","18.0683674242418","15.5410984848486","21.7686363636351","3.35174810605876","21.3785757575752","0.312569324326313","0.635051861191506","0.343051983296771","1.13339876925406","0.63403668307302","13_E_3",3.12703799682384
"29","1995","Egegik","2","16.696784090909","15.1515473484848","22.5110170454529","4.76540151515116","22.5300037878782","0.335203032987772","1.10703278741275","0.141321738747006","1.42020768945117","0.72772170691586","95_E_2",3.03195687398042
"30","1995","Egegik","3","16.5740196969695","16.2423143939394","22.9997265151502","8.21503939393921","23.7980651515146","3.05728659477097","2.29020176111437","0.831714797506477","1.08042586849461","0.208484779231047","95_E_3",2.61256191518569
"31","1995","Kvichak","2","20.1828573863633","12.7075553977272","20.8644016098465","3.34283977272686","21.2318744318175","1.19039390874747","0.275708476298951","0.492006384918495","0.472927035383811","0.254006311341457","95_K_2",3.00022122338805
"32","1989","Egegik","2","16.1107053977274","13.4137559659098","22.573723674242","5.92167187499935","23.7133613636365","0.389523213976492","2.13134671330819","0.185138743705742","0.411605877851208","0.231887941475725","89_E_2",2.87706116136581
"33","1989","Egegik","3","15.8698238636365","14.5235246212132","22.9124204545451","2.50047916666579","22.539681818182","0.228939660245659","1.89859135384669","0.591600914081677","1.86759810171115","0.577675848191423","89_E_3",3.40962341188092
"34","1989","Wood","2","18.508922253788","13.3887588068194","22.6498619318175","3.39401562499903","22.6465810606062","1.34418544919267","0.0757486487283159","0.249257212572624","0.720059638541576","0.231114480307717","89_W_2",3.24587058170233
"35","1980","Wood","2","12.5726013257576","15.6087041666666","19.4737535037874","5.02473579545455","20.2407662878788","1.14399163687367","1.70689196267355","1.57194171027637",NA,"0.277800956260944","80_W_2",2.56501667256839
"36","1984","Wood","2","15.1100369318181","14.0957208333333","22.2146523674238","6.66236676136338","22.5834132575758","0.153401584438683","0.168793134456286","0.478060765020669","1.29764493664845","0.213000844918203","84_W_2",2.72128691303972
"37","1989","Wood","3","15.7245492424242","14.7125833333334","24.009642045454","3.98950568181768","23.1374621212121","0.497397881146414","1.62823771214142","0.316940733835544","1.09254725015688","0.430265273279649","89_W_3",3.35412696368786
"38","1992","Egegik","2","20.4092926136362","14.1230958333335","23.5423995265145","3.70780331439349","23.3638640151515","1.57406666630473","0.213854850867538","0.272359789086525","1.31631210837213","0.269633498609175","92_E_2",3.32784648896898
"39","1993","Kvichak","2","16.0744469696969","14.5185666666667","22.9334098484844","6.45066439393904","23.3274818181818","0.489660070411356","1.21347004896685","0.238920403006108","0.481328492889622","0.374627602078248","93_K_2",2.85308009271181
"40","1977","Wood","2","9.57131515151533","15.6311916666677","23.3967166666667","4.79447727272721","23.1431553030304","5.47995884645763","1.46066912983681","0.169281277382929","0.596098649409098","0.39993809865716","77_W_2",3.15329169885828
"41","1977","Wood","3","19.8350515151519","12.4853093750017","21.7854937500002","1.39709564393938","20.8110790719701","0.622961340371657","0.202853753725","0.210545330722545","0.343102325681252","0.180046974857133","77_W_3",3.40628868357802
