Row,Analysis,Date,Identifier 1,Identifier 2,Comment,Amount,Gasconfiguration,Peak Nr,Is Ref _,Rt,Width,BGD 28,Ampl  28,rArea 28,Area 28,BGD 29,Ampl  29,rArea 29,Area 29,rR 29N2/28N2,R 29N2/28N2,rd 29N2/28N2,d 29N2/28N2,R 15N/14N,d 15N/14N,BGD 44,Ampl  44,rArea 44,Area 44,BGD 45,Ampl  45,rArea 45,Area 45,BGD 46,Ampl  46,Area 46,rArea 46,rR 45CO2/44CO2,R 45CO2/44CO2,rd 45CO2/44CO2,d 45CO2/44CO2,rR 46CO2/44CO2,R 46CO2/44CO2,rd 46CO2/44CO2,d 46CO2/44CO2,R 13C/12C,d 13C/12C,R 18O/16O,d 18O/16O
11,47490,03/28/24,86_W_02_c,B9,SAMPLE,0.659,CO2,4,1,525.4,38.2,,,,,,,,,,,,,,,2.3,4038,74867,74.867,1.9,4168,77309,0.85,4.2,5821,0.324,107963,1.0326088,0.0119849,0,0,1.4420605,0.0040196,0,0,0.0111802,0,0.0020052,0
12,47491,03/28/24,86_W_02_d,B10,SAMPLE,0.507,N2,1,1,47.4,26.1,21.4,925,17043,17.043,13.8,608,11203,0.123,0.6573635,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
12,47491,03/28/24,86_W_02_d,B10,SAMPLE,0.507,N2,2,0,216.5,81.7,25.4,2357,53029,53.029,16.3,1571,35305,0.388,0.6657625,0.0074504,12.777,12.777,0.0037252,12.777,,,,,,,,,,,,,,,,,,,,,,,,
12,47491,03/28/24,86_W_02_d,B10,SAMPLE,0.507,CO2,3,0,374.3,92.4,,,,,,,,,,,,,,,1.0,2901,72914,72.914,0.5,2990,74973,0.825,2.4,4178,0.315,105130,1.0282409,0.011921,-5.329,-5.329,1.4418371,0.0040196,-0.001,-0.001,0.0111163,-5.713,0.0020052,0.012
12,47491,03/28/24,86_W_02_d,B10,SAMPLE,0.507,CO2,4,1,525.4,38,,,,,,,,,,,,,,,2.0,4039,74901,74.901,1.6,4174,77429,0.852,3.8,5822,0.324,107995,1.0337498,0.0119849,0,0,1.4418387,0.0040196,0,0,0.0111802,0,0.0020052,0
13,47492,03/28/24,86_W_02_e,B11,SAMPLE,0.544,N2,1,1,47.4,26.1,21.4,924,17036,17.036,13.7,607,11193,0.123,0.6570299,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
13,47492,03/28/24,86_W_02_e,B11,SAMPLE,0.544,N2,2,0,216.5,82.3,25.4,2556,57679,57.679,16.3,1701,38350,0.422,0.6648863,0.0074444,11.957,11.957,0.0037222,11.957,,,,,,,,,,,,,,,,,,,,,,,,
13,47492,03/28/24,86_W_02_e,B11,SAMPLE,0.544,CO2,3,0,373.9,93.6,,,,,,,,,,,,,,,1.0,3194,80553,80.553,0.5,3292,82827,0.911,2.4,4597,0.348,116083,1.0282338,0.0119139,-5.918,-5.918,1.4410775,0.0040178,-0.448,-0.448,0.0111095,-6.328,0.0020043,-0.434
13,47492,03/28/24,86_W_02_e,B11,SAMPLE,0.544,CO2,4,1,525.4,38.7,,,,,,,,,,,,,,,2.0,4044,74988,74.988,1.6,4182,77564,0.853,3.8,5828,0.324,108112,1.0343549,0.0119849,0,0,1.4417227,0.0040196,0,0,0.0111802,0,0.0020052,0
14,47493,03/28/24,86_W_02_f,B12,SAMPLE,0.708,N2,1,1,47.4,26.1,21.4,926,17053,17.053,13.8,608,11211,0.123,0.6573792,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
