Analysis,Identifier 1,Rt,Area All,d 29N2/28N2,d 15N/14N,Peak ID
46511,77_W_2,2179.5,2.902,4.964,4.964,PHE
46512,77_W_2,1283.5,17.765,23.497,23.497,ALA
46512,77_W_2,1374.6,71.707,5.932,5.932,VAL
46512,77_W_2,1528,4.46,16.016,16.016,NOR
46512,77_W_2,2076.8,12.39,23.272,23.272,GLU
46512,77_W_2,2179.5,2.927,4.968,4.968,PHE
46513,77_W_2,1284.1,19.077,23.867,23.867,ALA
46513,77_W_2,1405.9,11.91,15.301,15.301,VAL
46513,77_W_2,1528.8,4.87,15.296,15.296,NOR
46513,77_W_2,2078.1,12.933,23.257,23.257,GLU
46513,77_W_2,2179.9,3.033,6.019,6.019,PHE
46514,86_E_2,1280.1,12.274,24.161,24.161,ALA
46514,86_E_2,1402,8.092,15.308,15.308,VAL
46514,86_E_2,1528.8,7.014,14.377,14.377,NOR
46514,86_E_2,2073.1,9.01,23.717,23.717,GLU
46514,86_E_2,2177.8,1.992,8.102,8.102,PHE
46515,86_E_2,1282.2,11.052,23.45,23.45,ALA
46515,86_E_2,1404.1,7.765,15.246,15.246,VAL
46515,86_E_2,1531.1,6.658,13.995,13.995,NOR
46515,86_E_2,2076.4,7.876,24.502,24.502,GLU
46515,86_E_2,2180.9,1.691,6.398,6.398,PHE
46516,86_E_2,1284.3,10.237,23.361,23.361,ALA
46516,86_E_2,1406.2,5.654,13.666,13.666,VAL
46516,86_E_2,1533.6,5.272,11.244,11.244,NOR
46516,86_E_2,2080.2,8.038,23.903,23.903,GLU
46516,86_E_2,2183.8,1.721,8.336,8.336,PHE
46517,5AA,1290.6,21.165,-0.361,-0.361,ALA
46517,5AA,1410.8,12.546,-0.509,-0.509,VAL
46517,5AA,1549.7,24.007,14.403,14.403,NOR
46517,5AA,2094.4,14.491,-2.622,-2.622,GLU
46517,5AA,2204.7,12.511,-3.464,-3.464,PHE
46518,83_K_2,1274.1,6.225,21.2,21.2,ALA
46518,83_K_2,1396.3,5.371,13.481,13.481,VAL
46518,83_K_2,1525.1,4.382,15.225,15.225,NOR
46518,83_K_2,2062.8,4.151,21.05,21.05,GLU
46518,83_K_2,2175.7,1.526,4.561,4.561,PHE
46519,83_K_2,1277.6,5.601,20.388,20.388,ALA
46519,83_K_2,1399.9,5.229,13.525,13.525,VAL
46519,83_K_2,1528.8,3.496,18.146,18.146,NOR
46519,83_K_2,2069.1,3.895,20.228,20.228,GLU
46520,83_K_2,1285.8,5.357,20.091,20.091,ALA
46520,83_K_2,1408.5,5.491,16.122,16.122,VAL
46520,83_K_2,1538,5.242,17.592,17.592,NOR
46520,83_K_2,2083.9,3.591,18.969,18.969,GLU
46521,5AA,1309.8,19.476,-1.866,-1.866,ALA
46521,5AA,1430.6,12.876,-1.278,-1.278,VAL
46521,5AA,1569,18.172,11.987,11.987,NOR
46521,5AA,2124.7,12.944,-3.562,-3.562,GLU
46521,5AA,2230.2,10.937,-5.624,-5.624,PHE
46522,5AA,1322.8,20.099,-2.643,-2.643,ALA
46522,5AA,1443.4,11.005,-2.999,-2.999,VAL
46522,5AA,1580.7,17.255,11.817,11.817,NOR
46522,5AA,2141.2,13.675,-3.819,-3.819,GLU
46522,5AA,2244,13.856,-4.023,-4.023,PHE
