"","Analysis","ID1","RT","AreaAll","d29N","d15N","AAID","d15N.correct","adj"
"31",46463,"89_E_3",1285.4,25.144,22.996,22.996,"ALA",22.56585,22.0588704545456
"32",46463,"89_E_3",1406.4,14.616,16.139,16.139,"VAL",15.70885,16.0844122159092
"33",46463,"89_E_3",1528.8,8.694,13.172,13.172,"NOR",12.74185,13.1981582386374
"34",46463,"89_E_3",2078.5,15.73,22.475,22.475,"GLU",22.04485,22.2575676136359
"35",46463,"89_E_3",2179,3.129,0.997,0.997,"PHE",0.56685,0.405546874999092
"36",46464,"89_E_3",1285.4,23.129,23.301,23.301,"ALA",22.87085,22.379681818182
"37",46464,"89_E_3",1406.4,14.875,15.673,15.673,"VAL",15.24285,15.6288238636365
"38",46464,"89_E_3",1528.8,8.62,13.575,13.575,"NOR",13.14485,13.6738579545465
"39",46464,"89_E_3",2078.1,15.116,23.338,23.338,"GLU",22.90785,23.0714204545451
"40",46464,"89_E_3",2178.8,2.948,3.76,3.76,"PHE",3.32985,3.10481249999912
"41",46465,"89_E_3",1285.4,22.802,24.086,24.086,"ALA",23.65585,23.1804931818183
"42",46465,"89_E_3",1406.6,13.232,15.93,15.93,"VAL",15.49985,15.8962355113638
"43",46465,"89_E_3",1528.8,4.816,16.527,16.527,"NOR",16.09685,16.6985576704555
"44",46465,"89_E_3",2078.5,15.03,23.724,23.724,"GLU",23.29385,23.4082732954543
"45",46465,"89_E_3",2178.8,3.034,4.71,4.71,"PHE",4.27985,3.99107812499916
"46",46466,"5AA",1280.3,20.906,0.249,0.249,"ALA",-0.18115,-0.640695454545364
"47",46466,"5AA",1400.9,12.6,0.153,0.153,"VAL",-0.27715,0.129647159091029
"48",46466,"5AA",1539.1,24.517,15.35,15.35,"NOR",14.91985,15.5942573863646
"49",46466,"5AA",2076,14.245,-1.997,-1.997,"GLU",-2.42715,-2.361873863637
"50",46466,"5AA",2190.1,12.392,-3.281,-3.281,"PHE",-3.71115,-4.06365625000081
"51",46467,"89_K_2",1283.9,19.883,24.88,24.88,"ALA",24.44985,24.0061159090911
"52",46467,"89_K_2",1375.4,77.533,7.276,7.276,"VAL",6.84585,7.2630588068183
"53",46467,"89_K_2",1529,5.681,16.53,16.53,"NOR",16.09985,16.8469571022736
"54",46467,"89_K_2",2075.2,12.934,23.165,23.165,"GLU",22.73485,22.7509789772722
"55",46467,"89_K_2",2177.6,2.711,6.775,6.775,"PHE",6.34485,5.92860937499922
"56",46468,"89_K_2",1283.5,20.343,24.58,24.58,"ALA",24.14985,23.7219272727274
"57",46468,"89_K_2",1404.3,10.151,15.797,15.797,"VAL",15.36685,15.7944704545456
"58",46468,"89_K_2",1528.6,8.519,14.06,14.06,"NOR",13.62985,14.4496568181826
"59",46468,"89_K_2",2077.9,12.905,23.381,23.381,"GLU",22.95085,22.9178318181814
"60",46468,"89_K_2",2181.5,2.674,8.442,8.442,"PHE",8.01185,7.53187499999926
"61",46469,"89_K_2",1284.5,19.973,24.683,24.683,"ALA",24.25285,23.8407386363638
"62",46469,"89_K_2",1405.1,10.332,15.831,15.831,"VAL",15.40085,15.8388821022728
"63",46469,"89_K_2",1529.7,8.718,14.313,14.313,"NOR",13.88285,14.7753565340917
"64",46469,"89_K_2",2076.2,12.623,23.392,23.392,"GLU",22.96185,22.8796846590906
"65",46469,"89_K_2",2178.4,2.724,8.89,8.89,"PHE",8.45985,7.91614062499929
"66",46470,"89_E_2",1285.6,20.46,24.698,24.698,"ALA",24.26785,23.8715500000001
"67",46470,"89_E_2",1406.6,11.37,15.819,15.819,"VAL",15.38885,15.8372937500001
"68",46470,"89_E_2",1530.3,8.381,13.97,13.97,"NOR",13.53985,14.5050562500007
"69",46470,"89_E_2",2079.1,13.145,23.049,23.049,"GLU",22.61885,22.4875374999998
"70",46470,"89_E_2",2180.5,2.778,6.484,6.484,"PHE",6.05385,5.44640624999932
"71",46471,"89_E_2",1287.6,20.111,24.632,24.632,"ALA",24.20185,23.8213613636364
"72",46471,"89_E_2",1409.1,11.635,16.528,16.528,"VAL",16.09785,16.5567053977274
"73",46471,"89_E_2",1532.4,3.057,10.35,10.35,"NOR",9.91985,10.9577559659098
"74",46471,"89_E_2",2082.1,12.881,23.058,23.058,"GLU",22.62785,22.4473903409085
"75",46471,"89_E_2",2182.4,2.81,7.264,7.264,"PHE",6.83385,6.16267187499935
"76",46472,"89_E_2",1290.2,19.316,24.242,24.242,"ALA",23.81185,23.4471727272729
"77",46472,"89_E_2",1411.6,12.43,15.899,15.899,"VAL",15.46885,15.9381170454546
"78",46472,"89_E_2",1535.1,8.863,14.098,14.098,"NOR",13.66785,14.7784556818188
"79",46472,"89_E_2",2086.9,12.596,23.446,23.446,"GLU",23.01585,22.7862431818177
"80",46472,"89_E_2",2186.1,2.636,7.321,7.321,"PHE",6.89085,6.15593749999939
"81",46473,"5AA",1292.5,18.441,-0.444,-0.444,"ALA",-0.87415,-1.22301590909081
"82",46473,"5AA",1413,11.102,-0.302,-0.302,"VAL",-0.73215,-0.252471306818103
"83",46473,"5AA",1551.4,19.387,13.854,13.854,"NOR",13.42385,14.6071553977278
"84",46473,"5AA",2095.2,12.209,-2.01,-2.01,"GLU",-2.44015,-2.71890397727311
"85",46473,"5AA",2205.6,10.426,-3.403,-3.403,"PHE",-3.83315,-4.63179687500058
"86",46477,"5AA",1328,17.325,-0.878,-0.878,"ALA",-1.30815,-1.59377045454531
"87",46477,"5AA",1448.6,9.949,-0.766,-0.766,"VAL",-1.19615,-0.674824715909035
"88",46477,"5AA",1584.4,14.658,13.245,13.245,"NOR",12.81485,14.288954261364
"89",46477,"5AA",2142.9,10.618,-2.815,-2.815,"GLU",-3.24515,-3.7204926136368
"90",46477,"5AA",2245.3,9.903,-3.865,-3.865,"PHE",-4.29515,-5.34873437500045
"91",46478,"5AA",1339.5,15.068,-1.578,-1.578,"ALA",-2.00815,-2.27795909090899
"92",46478,"5AA",1459.9,9.997,-1.386,-1.386,"VAL",-1.81615,-1.28441306818177
"93",46478,"5AA",1594.7,15.003,13.019,13.019,"NOR",12.58885,14.1356539772735
"94",46478,"5AA",2154.8,11.274,-1.94,-1.94,"GLU",-2.37015,-2.8946397727276
"95",46478,"5AA",2255.5,9.512,-3.776,-3.776,"PHE",-4.20615,-5.32346875000042
