"","year","mo","data-type","region","extent","area"
"175",2015,4,"Goddard","N",13.89,12.33
"176",2016,4,"Goddard","N",13.68,11.98
"177",2017,4,"Goddard","N",13.75,12.26
"178",2018,4,"Goddard","N",13.7,12.28
"179",2019,4,"Goddard","N",13.43,11.9
"180",2020,4,"Goddard","N",13.62,12.02
"181",2021,4,"Goddard","N",13.79,12.18
"182",2022,4,"Goddard","N",13.99,12.46
"183",2023,4,"NRTSI-G","N",13.99,12.5
"184",2024,4,"NRTSI-G","N",14.12,12.54
"185",1979,5,"Goddard","N",13.86,11.11
"186",1980,5,"Goddard","N",13.79,10.96
"187",1981,5,"Goddard","N",13.8,10.99
"188",1982,5,"Goddard","N",13.97,11.17
"189",1983,5,"Goddard","N",13.49,10.87
"190",1984,5,"Goddard","N",13.58,10.88
"191",1985,5,"Goddard","N",14.07,11.25
"192",1986,5,"Goddard","N",13.38,10.7
"193",1987,5,"Goddard","N",13.74,10.97
"194",1988,5,"Goddard","N",13.56,11.41
"195",1989,5,"Goddard","N",13.04,11.35
"196",1990,5,"Goddard","N",13.23,10.9
"197",1991,5,"Goddard","N",13.47,11.5
"198",1992,5,"Goddard","N",13.22,11.43
"199",1993,5,"Goddard","N",13.37,11.42
"200",1994,5,"Goddard","N",13.62,11.66
"201",1995,5,"Goddard","N",12.97,10.9
"202",1996,5,"Goddard","N",13.09,11.28
"203",1997,5,"Goddard","N",13.18,11.24
"204",1998,5,"Goddard","N",13.59,11.4
"205",1999,5,"Goddard","N",13.75,11.66
"206",2000,5,"Goddard","N",13.15,11.24
"207",2001,5,"Goddard","N",13.51,11.38
"208",2002,5,"Goddard","N",12.97,11.16
"209",2003,5,"Goddard","N",13.02,10.89
"210",2004,5,"Goddard","N",12.56,10.92
"211",2005,5,"Goddard","N",12.91,10.88
"212",2006,5,"Goddard","N",12.52,10.45
"213",2007,5,"Goddard","N",12.78,10.77
"214",2008,5,"Goddard","N",12.97,11.25
"215",2009,5,"Goddard","N",13.19,11.48
"216",2010,5,"Goddard","N",12.87,10.88
"217",2011,5,"Goddard","N",12.68,10.74
"218",2012,5,"Goddard","N",13.01,11.05
"219",2013,5,"Goddard","N",13,11.25
"220",2014,5,"Goddard","N",12.7,11.05
"221",2015,5,"Goddard","N",12.47,10.9
"222",2016,5,"Goddard","N",11.92,10.25
"223",2017,5,"Goddard","N",12.63,11.01
"224",2018,5,"Goddard","N",12.23,10.81
"225",2019,5,"Goddard","N",12.19,10.5
"226",2020,5,"Goddard","N",12.34,10.51
"227",2021,5,"Goddard","N",12.68,10.86
"228",2022,5,"Goddard","N",12.88,11.1
"229",2023,5,"NRTSI-G","N",12.83,11.02
"230",1979,6,"Goddard","N",12.53,9.34
"231",1980,6,"Goddard","N",12.2,9
"232",1981,6,"Goddard","N",12.43,9.03
"233",1982,6,"Goddard","N",12.48,9.46
"234",1983,6,"Goddard","N",12.3,9.27
"235",1984,6,"Goddard","N",12.15,9.09
"236",1985,6,"Goddard","N",12.22,8.96
"237",1986,6,"Goddard","N",11.98,8.99
"238",1987,6,"Goddard","N",12.49,9.39
"239",1988,6,"Goddard","N",11.94,9.68
"240",1989,6,"Goddard","N",12.24,9.95
"241",1990,6,"Goddard","N",11.64,9.2
"242",1991,6,"Goddard","N",12.11,9.66
"243",1992,6,"Goddard","N",12.15,9.95
"244",1993,6,"Goddard","N",11.87,9.26
"245",1994,6,"Goddard","N",12.02,9.68
"246",1995,6,"Goddard","N",11.44,8.94
"247",1996,6,"Goddard","N",12.08,9.83
"248",1997,6,"Goddard","N",11.74,9.2
"249",1998,6,"Goddard","N",11.71,9.18
"250",1999,6,"Goddard","N",11.78,9.25
"251",2000,6,"Goddard","N",11.67,9.05
"252",2001,6,"Goddard","N",11.46,9.09
"253",2002,6,"Goddard","N",11.58,9.19
"254",2003,6,"Goddard","N",11.6,9.11
