Row,Analysis,Date,Identifier 1,Identifier 2,Comment,Amount,Gasconfiguration,Peak Nr,Is Ref _,Rt,Width,BGD 28,Ampl  28,rArea 28,Area 28,BGD 29,Ampl  29,rArea 29,Area 29,rR 29N2/28N2,R 29N2/28N2,rd 29N2/28N2,d 29N2/28N2,R 15N/14N,d 15N/14N,BGD 44,Ampl  44,rArea 44,Area 44,BGD 45,Ampl  45,rArea 45,Area 45,BGD 46,Ampl  46,Area 46,rArea 46,rR 45CO2/44CO2,R 45CO2/44CO2,rd 45CO2/44CO2,d 45CO2/44CO2,rR 46CO2/44CO2,R 46CO2/44CO2,rd 46CO2/44CO2,d 46CO2/44CO2,R 13C/12C,d 13C/12C,R 18O/16O,d 18O/16O
31,46339,10/01/23,SHW-CMS-01,C5,SAMPLE,0.447,CO2,3,0,369.9,94.9,,,,,,,,,,,,,,,1.2,5273,125411,125.411,0.6,5536,131141,1.443,3.5,7475,0.534,178012,1.0456961,0.0118014,-15.304,-15.304,1.4194347,0.0039752,-11.045,-11.045,0.0110014,-15.995,0.0019831,-11.022
31,46339,10/01/23,SHW-CMS-01,C5,SAMPLE,0.447,CO2,4,1,525.6,41,,,,,,,,,,,,,,,2.8,5182,96323,96.323,2.2,5501,102290,1.125,5.6,7435,0.415,138251,1.0619482,0.0119849,0,0,1.435288,0.0040196,0,0,0.0111802,0,0.0020052,0
32,46340,10/01/23,SAL_STD_03,C6,STD,0.372,N2,1,1,47.7,28,22.3,3295,60701,60.701,15.0,2170,39995,0.44,0.6588847,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
32,46340,10/01/23,SAL_STD_03,C6,STD,0.372,N2,2,0,214,78.8,25.8,3010,62597,62.597,17.2,2008,41722,0.459,0.6665205,0.0074417,11.589,11.589,0.0037208,11.589,,,,,,,,,,,,,,,,,,,,,,,,
32,46340,10/01/23,SAL_STD_03,C6,STD,0.372,CO2,3,0,370.1,94.5,,,,,,,,,,,,,,,1.2,4696,111534,111.534,0.6,4957,117336,1.291,3.5,6663,0.475,158464,1.0520267,0.0118727,-9.359,-9.359,1.4207685,0.0039789,-10.105,-10.105,0.0110722,-9.657,0.001985,-10.095
32,46340,10/01/23,SAL_STD_03,C6,STD,0.372,CO2,4,1,525.6,41.4,,,,,,,,,,,,,,,2.8,5182,96224,96.224,2.3,5501,102187,1.124,5.7,7437,0.414,138108,1.0619654,0.0119849,0,0,1.4352724,0.0040196,0,0,0.0111802,0,0.0020052,0
33,46341,10/01/23,GA2_STD_03,C7,STD,0.417,N2,1,1,47.7,28,22.4,3286,60707,60.707,15.1,2163,39970,0.44,0.6583955,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
33,46341,10/01/23,GA2_STD_03,C7,STD,0.417,N2,2,0,214.2,78,25.8,2563,53648,53.648,17.2,1680,35137,0.387,0.6549467,0.0073179,-5.238,-5.238,0.0036589,-5.238,,,,,,,,,,,,,,,,,,,,,,,,
33,46341,10/01/23,GA2_STD_03,C7,STD,0.417,CO2,3,0,370.6,93.2,,,,,,,,,,,,,,,1.2,4588,109365,109.365,0.6,4878,115867,1.275,3.5,6511,0.466,155384,1.059453,0.0119568,-2.344,-2.344,1.4207854,0.0039789,-10.113,-10.113,0.0111563,-2.136,0.0019849,-10.119
33,46341,10/01/23,GA2_STD_03,C7,STD,0.417,CO2,4,1,525.6,41.4,,,,,,,,,,,,,,,2.6,5156,95815,95.815,2.1,5473,101750,1.119,5.4,7399,0.413,137524,1.0619421,0.0119849,0,0,1.4353005,0.0040196,0,0,0.0111802,0,0.0020052,0
34,46342,10/01/23,GA1_STD_03,C8,STD,0.429,N2,1,1,47.7,27.8,22.3,3295,60667,60.667,15.0,2169,39944,0.439,0.6584046,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
34,46342,10/01/23,GA1_STD_03,C8,STD,0.429,N2,2,0,214,78,25.8,2650,54999,54.999,17.2,1739,36057,0.397,0.6555857,0.0073249,-4.282,-4.282,0.0036625,-4.282,,,,,,,,,,,,,,,,,,,,,,,,
34,46342,10/01/23,GA1_STD_03,C8,STD,0.429,CO2,3,0,370.3,94.3,,,,,,,,,,,,,,,1.2,4715,111691,111.691,0.6,4946,116733,1.284,3.5,6690,0.476,158661,1.0451367,0.0117951,-15.836,-15.836,1.4205353,0.0039782,-10.3,-10.3,0.0109947,-16.593,0.0019846,-10.274
