Row,Analysis,Date,Identifier 1,Identifier 2,Comment,Amount,Gasconfiguration,Peak Nr,Is Ref _,Rt,Width,BGD 28,Ampl  28,rArea 28,Area 28,BGD 29,Ampl  29,rArea 29,Area 29,rR 29N2/28N2,R 29N2/28N2,rd 29N2/28N2,d 29N2/28N2,R 15N/14N,d 15N/14N,BGD 44,Ampl  44,rArea 44,Area 44,BGD 45,Ampl  45,rArea 45,Area 45,BGD 46,Ampl  46,Area 46,rArea 46,rR 45CO2/44CO2,R 45CO2/44CO2,rd 45CO2/44CO2,d 45CO2/44CO2,rR 46CO2/44CO2,R 46CO2/44CO2,rd 46CO2/44CO2,d 46CO2/44CO2,R 13C/12C,d 13C/12C,R 18O/16O,d 18O/16O
14,46765,11/09/23,bbh_3m_16,B2,SAMPLE,0.464,CO2,3,0,369.7,123.9,,,,,,,,,,,,,,,1.7,4865,125355,125.355,1.2,5124,131614,1.448,4.0,6903,0.535,178263,1.0499296,0.0118409,-12.007,-12.007,1.4220687,0.0039857,-8.418,-8.418,0.0110398,-12.559,0.0019884,-8.399
14,46765,11/09/23,bbh_3m_16,B2,SAMPLE,0.464,CO2,4,1,525.4,42.6,,,,,,,,,,,,,,,5.8,5402,100183,100.183,5.4,5737,106464,1.171,9.7,7744,0.431,143677,1.0626899,0.0119849,0,0,1.4341419,0.0040196,0,0,0.0111802,0,0.0020052,0
15,46766,11/09/23,bbh_3m_17,B3,SAMPLE,0.469,N2,1,1,47.4,26.8,30.5,3435,63297,63.297,20.9,2263,41717,0.459,0.6590718,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
15,46766,11/09/23,bbh_3m_17,B3,SAMPLE,0.469,N2,2,0,214.9,98.4,33.6,4225,93726,93.726,22.6,2819,62477,0.687,0.6665915,0.0074403,11.41,11.41,0.0037202,11.41,,,,,,,,,,,,,,,,,,,,,,,,
15,46766,11/09/23,bbh_3m_17,B3,SAMPLE,0.469,CO2,3,0,369.3,126,,,,,,,,,,,,,,,1.8,5463,140822,140.822,1.3,5745,147577,1.623,4.2,7748,0.6,200141,1.0479682,0.0118189,-13.844,-13.844,1.4212318,0.0039833,-9.013,-9.013,0.011018,-14.506,0.0019872,-8.99
15,46766,11/09/23,bbh_3m_17,B3,SAMPLE,0.469,CO2,4,1,525.4,42.6,,,,,,,,,,,,,,,6.0,5418,100473,100.473,5.7,5754,106770,1.174,10.2,7768,0.432,144094,1.0626799,0.0119849,0,0,1.4341573,0.0040196,0,0,0.0111802,0,0.0020052,0
16,46767,11/09/23,bbh_3m_18,B4,SAMPLE,0.447,N2,1,1,47.4,27,30.7,3430,63195,63.195,21.0,2261,41651,0.458,0.6590984,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
16,46767,11/09/23,bbh_3m_18,B4,SAMPLE,0.447,N2,2,0,214.9,98.2,33.6,4001,89497,89.497,22.7,2669,59645,0.656,0.6664472,0.0074384,11.15,11.15,0.0037192,11.15,,,,,,,,,,,,,,,,,,,,,,,,
16,46767,11/09/23,bbh_3m_18,B4,SAMPLE,0.447,CO2,3,0,369.5,126,,,,,,,,,,,,,,,1.8,5362,139293,139.293,1.3,5644,146157,1.608,4.2,7604,0.594,197964,1.0492761,0.0118341,-12.578,-12.578,1.4212067,0.0039833,-9.026,-9.026,0.0110332,-13.148,0.0019871,-9.006
16,46767,11/09/23,bbh_3m_18,B4,SAMPLE,0.447,CO2,4,1,525.4,42.4,,,,,,,,,,,,,,,6.2,5420,100508,100.508,5.9,5756,106804,1.175,10.4,7768,0.432,144143,1.0626423,0.0119849,0,0,1.4341513,0.0040196,0,0,0.0111802,0,0.0020052,0
